+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;718;02.1.5.02.013;;    Parcelamento Icms;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;767;02.1.5.02.014;;    Outras Contas A Pagar;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;772;02.1.5.02.015;;    Lucros A Distribuir;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;788;02.1.5.02.016;;    Parcelamento Pgfn;PARPGFN;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;840;02.1.5.02.017;;    Parcelamento Relp;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;214;02.1.5.03;T;   Obrigações Com Terceiros;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;215;02.1.5.03.001;;    Adiantamento De Clientes;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;216;02.1.5.03.002;;    Adiantamento Para Futuro Aumento De Capital;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;811;02.1.5.03.003;;    Adiantamento Mauricio M Neu;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;832;02.1.5.03.004;;    Adiantamento João Cícero Bidart;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;841;02.1.5.03.008;;    Adiantamento Rafael Ibarra Martins;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;973;02.1.5.03.009;;    3s Contruções Ltda.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;974;02.1.5.03.010;;    Dutra Incorp. Imobiliárias Ltda.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;975;02.1.5.03.011;;    Costa Ferreira Fomento Mercantil;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;976;02.1.5.03.012;;    Cristiano Duarte Kras Borges & Cia. Ltda.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;977;02.1.5.03.013;;    Green Incorporadora Ltda.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;995;02.1.5.03.014;;    Fm Pneus Ltda;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1049;02.1.5.03.015;;    Jorge Luiz Dos Santos;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;217;02.1.5.04;T;   Obrigações Provisionadas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
